"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"EF952","412","110.17157","31.02362","96.1175","119.70825","45390.685"
"EF46","412","","","","",""
"... Male","189","45.874%","","","",""
"... Female","223","54.126%","","","",""
"EF44","412","44.3665","13.87129","33","55","18279"
"EF44_bin10","412","","","","",""
"... [0,10]","0","0%","","","",""
"... (10,20]","16","3.883%","","","",""
"... (20,30]","71","17.233%","","","",""
"... (30,40]","73","17.718%","","","",""
"... (40,50]","97","23.544%","","","",""
"... (50,60]","109","26.456%","","","",""
"... (60,70]","43","10.437%","","","",""
"... (70,80]","0","0%","","","",""
"... (80,90]","3","0.728%","","","",""
"EF517","412","","","","",""
"... ISCED-Level 1 - PE","11","2.67%","","","",""
"... ISCED-Level 2 - LSGE","39","9.466%","","","",""
"... ISCED-Level 3 - USGE","27","6.553%","","","",""
"... ISCED-Level 3 - USVE","153","37.136%","","","",""
"... ISCED-Level 4 - PSNTVE","61","14.806%","","","",""
"... ISCED-Level 5 - SCTVE","2","0.485%","","","",""
"... ISCED-Level 6 - Bachelor","64","15.534%","","","",""
"... ISCED-Level 6 - Master","55","13.35%","","","",""
"EF540","412","","","","",""
"... ISCED 1 ECE (000)","0","0%","","","",""
"... ISCED 1 PE (100)","11","2.67%","","","",""
"... ISCED 2 LSE (200)","39","9.466%","","","",""
"... ISCED 3 USE (300)","0","0%","","","",""
"... ISCED 3 USE (302)","0","0%","","","",""
"... ISCED 3 USE (303)","6","1.456%","","","",""
"... ISCED 3 USE (304)","174","42.233%","","","",""
"... ISCED 4 PSNTE (400)","61","14.806%","","","",""
"... ISCED 5 SCTE (500)","2","0.485%","","","",""
"... ISCED 6 Bachelor (600)","64","15.534%","","","",""
"... ISCED 7 Master (700)","53","12.864%","","","",""
"... ISCED 8 Doctoral (800)","2","0.485%","","","",""
"EF436","409","","","","",""
"... < 150","0","0%","","","",""
"... 150 to < 300","1","0.244%","","","",""
"... 300 to < 500","20","4.89%","","","",""
"... 500 to < 700","0","0%","","","",""
"... 700 to < 900","24","5.868%","","","",""
"... 900 to < 1,100","25","6.112%","","","",""
"... 1,100 to < 1,300","68","16.626%","","","",""
"... 1,300 to < 1,500","19","4.645%","","","",""
"... 1,500 to < 1,700","0","0%","","","",""
"... 1,700 to < 2,000","31","7.579%","","","",""
"... 2,000 to < 2,300","92","22.494%","","","",""
"... 2,300 to < 2,600","36","8.802%","","","",""
"... 2,600 to < 2,900","22","5.379%","","","",""
"... 2,900 to < 3,200","15","3.667%","","","",""
"... 3,200 to < 3,600","20","4.89%","","","",""
"... 3,600 to < 4,000","8","1.956%","","","",""
"... 4,000 to < 4,500","9","2.2%","","","",""
"... 4,500 to < 5,000","4","0.978%","","","",""
"... 5,000 to < 5,500","1","0.244%","","","",""
"... 5,500 to < 6,000","4","0.978%","","","",""
"... 6,000 to < 7,500","6","1.467%","","","",""
"... 7,500 to < 10,000","2","0.489%","","","",""
"... 10,000 to < 18,000","1","0.244%","","","",""
"... > 18,000","0","0%","","","",""
"... Farmer (self-employed, main job)","1","0.244%","","","",""
"EF436_num","408","2122.85539","1380.2107","1200","2450","866125"
"EF442","371","","","","",""
"... < 150","1","0.27%","","","",""
