EF541UG2,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
12,14,1588.3519999999999,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
21,37,3891.459,0,0,0.0023545867444004368,0.003003003003003003,0.9976454132555996,0.996996996996997,0,0,0,0,1,1,0,0,0.02119128069960393,0.02702702702702703,0.9788087193003961,0.972972972972973
31,67,7431.457,0,0,0.026045617822842666,0.02487562189054726,0.9739543821771572,0.9751243781094527,0,0,0,0,1,1,0,0,0.23441056040558397,0.22388059701492538,0.7655894395944159,0.7761194029850746
32,66,7453.2,0,0,0.0013153186997978497,0.0016835016835016834,0.9986846813002022,0.9983164983164983,0,0,0,0,1,1,0,0,0.011837868298180648,0.015151515151515152,0.9881621317018194,0.9848484848484849
42,82,8747.444,0,0,0.01623220832660756,0.017615176151761516,0.9837677916733925,0.9823848238482384,0,0,0,0,1,1,0,0,0.14608987493946804,0.15853658536585366,0.853910125060532,0.8414634146341463
61,75,8251.601,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
75,12,1325.9950000000001,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
81,23,2543.5,0,0,0.06866570561125308,0.06763285024154589,0.9313342943887469,0.932367149758454,0,0,0,0,1,1,0,0,0.6179913505012777,0.6086956521739131,0.38200864949872226,0.391304347826087
93,32,3673.671,0,0,0.0301297469963363,0.03125,0.9698702530036638,0.96875,0,0,0,0,1,1,0,0,0.27116772296702674,0.28125,0.7288322770329733,0.71875
94,4,484.006,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
